repository,project_name,category,scorecard_aggregate,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities,criticality_score,repo_language,repo_license,repo_stars,repo_created_at,repo_updated_at,criticality_created_since,criticality_updated_since,criticality_contributor_count,criticality_org_count,criticality_commit_frequency,criticality_recent_release_count,criticality_updated_issues_count,criticality_closed_issues_count,criticality_issue_comment_frequency,criticality_github_mention_count,repo_name,repo_owner,repo_project,has_scorecard,has_criticality,has_both,scorecard_category,criticality_category,risk_assessment
https://github.com/EPGOxford/OPEN,OPEN,Other,2.3,10.0,6.0,,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,0.0,0.26488,Python,Apache License 2.0,65.0,2019-12-02T18:54:17Z,2020-07-16T08:07:29Z,71.0,63.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,EPGOxford/OPEN,EPGOxford,OPEN,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/EcotopeResearch/HPWHsim,HPWHsim,Other,5.4,10.0,6.0,10.0,0.0,7.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0,0.39654,C++,"BSD 3-Clause ""New"" or ""Revised"" License",15.0,2015-12-04T01:20:56Z,2025-09-29T17:59:33Z,119.0,0.0,13.0,3.0,15.58,4.0,0.0,0.0,0.0,7.0,EcotopeResearch/HPWHsim,EcotopeResearch,HPWHsim,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/ElektrikAkar/3d_milp,3d_milp,Other,1.5,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,0.0,0.20768,MATLAB,Other,8.0,2020-11-06T13:14:34Z,2022-07-22T01:16:19Z,59.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ElektrikAkar/3d_milp,ElektrikAkar,3d_milp,True,True,True,Very Poor (0-2),Low (0.2-0.4),Standard
https://github.com/EnergieID/entsoe-py,entsoe-py,Other,3.9,10.0,0.0,0.0,0.0,3.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.46402,Python,MIT License,577.0,2017-07-12T13:17:39Z,2025-10-03T17:11:48Z,100.0,0.0,73.0,7.0,1.33,17.0,0.0,0.0,0.0,21.0,EnergieID/entsoe-py,EnergieID,entsoe-py,True,True,True,Poor (2-4),Medium (0.4-0.6),Medium Risk
https://github.com/Energy-Innovation/eps-us,Energy Policy Simulator,Other,2.8,10.0,0.0,,0.0,0.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0,0.34368,Python,GNU General Public License v3.0,27.0,2019-10-19T03:02:43Z,2025-07-21T15:12:40Z,72.0,2.0,13.0,1.0,5.17,2.0,0.0,0.0,0.0,11.0,Energy-Innovation/eps-us,Energy-Innovation,eps-us,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/Energy-Sparks/energy-sparks,energy-sparks,Other,6.9,10.0,6.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,,0.0,10.0,0.0,,0.0,9.0,0.39828,Ruby,MIT License,27.0,2016-08-16T16:26:52Z,2025-10-03T15:16:13Z,111.0,0.0,14.0,5.0,15.1,0.0,0.0,0.0,0.0,14.0,Energy-Sparks/energy-sparks,Energy-Sparks,energy-sparks,True,True,True,Good (6-8),Low (0.2-0.4),Standard
https://github.com/EnergyTransition/ESDL,ESDL,Other,4.3,10.0,0.0,0.0,0.0,0.0,6.0,,10.0,0.0,10.0,5.0,,,0.0,0.0,,,10.0,0.33283,Shell,Apache License 2.0,14.0,2017-10-27T10:47:13Z,2025-07-31T12:43:39Z,96.0,2.0,10.0,1.0,0.33,3.0,0.0,0.0,0.0,17.0,EnergyTransition/ESDL,EnergyTransition,ESDL,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/EnnoidMe/ENNOID-BMS,ENNOID-BMS,Batteries,2.6,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0,0.24796,,GNU General Public License v3.0,272.0,2018-02-20T23:24:58Z,2021-07-19T14:52:01Z,92.0,51.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,EnnoidMe/ENNOID-BMS,EnnoidMe,ENNOID-BMS,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/Exawind/amr-wind,amr-wind,Other,7.0,10.0,8.0,10.0,5.0,7.0,10.0,10.0,10.0,0.0,9.0,10.0,,0.0,10.0,0.0,,0.0,10.0,0.44748,C++,Other,148.0,2018-09-07T23:22:15Z,2025-09-30T19:55:51Z,86.0,0.0,55.0,4.0,5.12,14.0,0.0,0.0,0.0,22.0,Exawind/amr-wind,Exawind,amr-wind,True,True,True,Good (6-8),Medium (0.4-0.6),Standard
https://github.com/FZJ-IEK3-VSA/FINE,FINE,Modeling,4.9,10.0,6.0,10.0,0.0,1.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,10.0,0.37817,Python,Other,84.0,2018-07-02T14:48:55Z,2025-09-29T08:25:06Z,88.0,0.0,57.0,2.0,2.02,2.0,0.0,0.0,0.0,6.0,FZJ-IEK3-VSA/FINE,FZJ-IEK3-VSA,FINE,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/FZJ-IEK3-VSA/HIM,HIM,Other,2.6,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0,0.25545,Jupyter Notebook,MIT License,18.0,2019-09-17T14:42:55Z,2020-06-18T16:15:34Z,73.0,64.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,FZJ-IEK3-VSA/HIM,FZJ-IEK3-VSA,HIM,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/FZJ-IEK3-VSA/HiSim,HiSim,Other,4.9,10.0,6.0,10.0,0.0,10.0,3.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.37386,Python,MIT License,38.0,2021-10-05T11:08:23Z,2025-09-15T07:37:19Z,48.0,0.0,18.0,1.0,6.42,1.0,0.0,0.0,0.0,126.0,FZJ-IEK3-VSA/HiSim,FZJ-IEK3-VSA,HiSim,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/FZJ-IEK3-VSA/LoadProfileGenerator,LoadProfileGenerator,Other,3.9,10.0,0.0,0.0,0.0,10.0,0.0,,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,,10.0,0.26601,C#,MIT License,51.0,2020-03-05T14:35:49Z,2024-04-29T13:58:44Z,67.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,FZJ-IEK3-VSA/LoadProfileGenerator,FZJ-IEK3-VSA,LoadProfileGenerator,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/FZJ-IEK3-VSA/glaes,GLAES,Other,4.0,10.0,0.0,,0.0,0.0,3.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0,0.30688,Python,MIT License,58.0,2017-05-29T08:41:09Z,2025-09-19T11:57:40Z,101.0,0.0,17.0,1.0,0.73,1.0,0.0,0.0,0.0,1.0,FZJ-IEK3-VSA/glaes,FZJ-IEK3-VSA,glaes,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/FZJ-IEK3-VSA/tsam,tsam,Other,3.9,10.0,6.0,5.0,0.0,9.0,6.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,3.0,0.40576,Python,MIT License,168.0,2017-05-15T08:36:11Z,2025-06-16T07:22:45Z,102.0,3.0,23.0,9.0,0.1,4.0,0.0,0.0,0.0,8.0,FZJ-IEK3-VSA/tsam,FZJ-IEK3-VSA,tsam,True,True,True,Poor (2-4),Medium (0.4-0.6),Medium Risk
https://github.com/FZJ-IEK3-VSA/tsib,tsib,Other,1.6,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,1.0,0.27226,Python,MIT License,21.0,2019-09-19T17:25:50Z,2023-03-22T09:29:28Z,73.0,30.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,FZJ-IEK3-VSA/tsib,FZJ-IEK3-VSA,tsib,True,True,True,Very Poor (0-2),Low (0.2-0.4),Standard
https://github.com/FZJ-IEK3-VSA/tsib,tsib,Other,1.6,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,1.0,0.27226,Python,MIT License,21.0,2019-09-19T17:25:50Z,2023-03-22T09:29:28Z,73.0,30.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,FZJ-IEK3-VSA/tsib,FZJ-IEK3-VSA,tsib,True,True,True,Very Poor (0-2),Low (0.2-0.4),Standard
https://github.com/FlexiGIS/FlexiGIS,FlexiGIS,Other,2.2,9.0,0.0,0.0,0.0,0.0,6.0,,10.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.30513,Python,,25.0,2019-12-02T08:47:33Z,2024-01-15T21:56:03Z,71.0,20.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,FlexiGIS/FlexiGIS,FlexiGIS,FlexiGIS,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/GMLC-TDC/HELICS,HELICS,Simulation,6.5,10.0,6.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,4.0,,0.0,9.0,10.0,0.0,0.0,10.0,0.44698,C++,"BSD 3-Clause ""New"" or ""Revised"" License",149.0,2017-06-01T17:03:19Z,2025-08-16T01:38:32Z,101.0,1.0,39.0,5.0,0.83,2.0,0.0,0.0,0.0,287.0,GMLC-TDC/HELICS,GMLC-TDC,HELICS,True,True,True,Good (6-8),Medium (0.4-0.6),Standard
https://github.com/GenXProject/GenX,GenX,Other,5.6,10.0,6.0,8.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0,0.40158,Julia,GNU General Public License v2.0,321.0,2021-05-19T17:57:57Z,2025-07-11T15:52:09Z,53.0,2.0,36.0,6.0,1.08,4.0,0.0,0.0,0.0,11.0,GenXProject/GenX,GenXProject,GenX,True,True,True,Fair (4-6),Medium (0.4-0.6),Standard
https://github.com/GridProtectionAlliance/SIEGate,SIEGate,Other,3.9,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,7.0,10.0,0.0,0.0,10.0,0.34916,C#,MIT License,8.0,2013-06-20T19:53:59Z,2025-10-02T06:01:32Z,149.0,0.0,7.0,5.0,1.98,1.0,0.0,0.0,0.0,2.0,GridProtectionAlliance/SIEGate,GridProtectionAlliance,SIEGate,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/GridProtectionAlliance/gsf,GSF,Other,7.1,0.0,8.0,10.0,0.0,4.0,10.0,10.0,10.0,0.0,10.0,10.0,,0.0,10.0,10.0,,9.0,10.0,0.46527,C#,MIT License,168.0,2004-12-08T19:35:50Z,2025-10-02T04:01:06Z,253.0,0.0,58.0,4.0,5.94,0.0,0.0,0.0,0.0,604.0,GridProtectionAlliance/gsf,GridProtectionAlliance,gsf,True,True,True,Good (6-8),Medium (0.4-0.6),Standard
https://github.com/GridProtectionAlliance/openHistorian,openHistorian,Other,6.3,0.0,8.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,,0.0,10.0,10.0,0.0,9.0,10.0,0.43689,TypeScript,MIT License,190.0,2010-10-18T14:17:13Z,2025-10-02T06:09:18Z,182.0,0.0,21.0,5.0,4.58,2.0,0.0,0.0,0.0,97.0,GridProtectionAlliance/openHistorian,GridProtectionAlliance,openHistorian,True,True,True,Good (6-8),Medium (0.4-0.6),Standard
https://github.com/GridProtectionAlliance/openPDC,openPDC,Other,5.4,0.0,8.0,,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,10.0,10.0,0.0,9.0,10.0,0.42715,C#,MIT License,145.0,2009-08-19T13:57:20Z,2025-10-02T05:55:56Z,196.0,0.0,24.0,6.0,2.5,0.0,1.0,0.0,0.0,95.0,GridProtectionAlliance/openPDC,GridProtectionAlliance,openPDC,True,True,True,Fair (4-6),Medium (0.4-0.6),Standard
https://github.com/GridProtectionAlliance/openXDA,openXDA,Other,3.7,0.0,8.0,0.0,0.0,3.0,10.0,,0.0,0.0,10.0,10.0,,0.0,0.0,10.0,0.0,,6.0,0.4291,C#,MIT License,20.0,2013-05-03T14:46:39Z,2025-10-02T06:27:28Z,151.0,0.0,28.0,2.0,8.98,1.0,0.0,0.0,0.0,214.0,GridProtectionAlliance/openXDA,GridProtectionAlliance,openXDA,True,True,True,Poor (2-4),Medium (0.4-0.6),Medium Risk
https://github.com/HIT2GAP-EU-PROJECT/bemserver,BEMServer,Other,1.9,10.0,3.0,0.0,0.0,0.0,10.0,,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,,,0.0,0.26119,Python,Other,41.0,2019-07-16T14:45:14Z,2022-10-27T16:05:33Z,75.0,35.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,HIT2GAP-EU-PROJECT/bemserver,HIT2GAP-EU-PROJECT,bemserver,True,True,True,Very Poor (0-2),Low (0.2-0.4),Standard
https://github.com/HotMaps/Hotmaps-toolbox-service,Hotmaps,Other,1.4,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,,0.0,0.31672,Python,Apache License 2.0,5.0,2017-02-13T08:46:11Z,2020-10-20T12:49:22Z,105.0,60.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,HotMaps/Hotmaps-toolbox-service,HotMaps,Hotmaps-toolbox-service,True,True,True,Very Poor (0-2),Low (0.2-0.4),Standard
