repository_name,repository_url,project_name,category,scorecard_score,criticality_score
PyPSA/pypsa-eur,https://github.com/PyPSA/pypsa-eur,PyPSA-Eur,Simulation,5.7,0.51707
PyPSA/pypsa-eur,https://github.com/PyPSA/pypsa-eur,PyPSA-Eur,Simulation,5.7,0.51707
PyPSA/pypsa-eur-sec,https://github.com/PyPSA/pypsa-eur-sec,PyPSA-Eur-Sec,Other,3.9,0.41552
PyPSA/whobs-server,https://github.com/PyPSA/whobs-server,whobs-server,Other,3.0,0.24529
RAMP-project/RAMP,https://github.com/RAMP-project/RAMP,RAMP,Other,4.1,0.36282
RAMP-project/RAMP-mobility,https://github.com/RAMP-project/RAMP-mobility,RAMP-mobility,Other,3.4,0.3028
RIAPS/riaps-core,https://github.com/RIAPS/riaps-core,RIAPS,Platform,2.9,0.31086
RWTH-EBC/AixLib,https://github.com/RWTH-EBC/AixLib,AixLib,Other,3.5,0.46212
RWTH-EBC/TEASER,https://github.com/RWTH-EBC/TEASER,TEASER,Simulation,4.2,0.46316
RWTH-EBC/TEASER,https://github.com/RWTH-EBC/TEASER,TEASER,Simulation,4.2,0.46316
RWTH-EBC/pyCity,https://github.com/RWTH-EBC/pyCity,pyCity_base,Other,2.7,0.32231
RWTH-EBC/pyCity,https://github.com/RWTH-EBC/pyCity,pyCity_base,Other,2.7,0.32231
RamiKrispin/UKgrid,https://github.com/RamiKrispin/UKgrid,UKgrid,Other,2.6,0.19412
RamiKrispin/USgrid,https://github.com/RamiKrispin/USgrid,USgrid,Other,2.7,0.19913
RentadroneCL/Photovoltaic_Fault_Detector,https://github.com/RentadroneCL/Photovoltaic_Fault_Detector,Photovoltaic_Fault_Detector,Other,0.7,0.28192
SEED-platform/seed,https://github.com/SEED-platform/seed,SEED,Other,5.4,0.48554
SNL-WaterPower/CACTUS,https://github.com/SNL-WaterPower/CACTUS,CACTUS,Other,3.8,0.2838
SNL-WaterPower/WecOptTool,https://github.com/SNL-WaterPower/WecOptTool,WecOptTool,Other,2.6,0.23226
Samuel-Buteau/universal-battery-database,https://github.com/Samuel-Buteau/universal-battery-database,universal-battery-database,Other,1.9,0.2273
SanPen/ESIOS,https://github.com/SanPen/ESIOS,ESIOS,Other,3.0,0.2441
SanPen/GridCal,https://github.com/SanPen/GridCal,GridCal,Other,4.4,0.42969
SeitaBV/flexmeasures,https://github.com/SeitaBV/flexmeasures,FlexMeasures,Other,5.9,
SmartTensors/GeoThermalCloud.jl,https://github.com/SmartTensors/GeoThermalCloud.jl,GeoThermalCloud.jl,Other,3.3,0.31929
SolarArbiter/solarforecastarbiter-core,https://github.com/SolarArbiter/solarforecastarbiter-core,Solar Forecast Arbiter,Other,4.5,0.33311
SolarTherm/SolarTherm,https://github.com/SolarTherm/SolarTherm,SolarTherm,Other,4.1,0.41383
SonyCSL/APIS,https://github.com/SonyCSL/APIS,APIS,Other,2.6,0.23463
Spine-project/Spine-Toolbox,https://github.com/Spine-project/Spine-Toolbox,Spine-Toolbox,Other,4.2,0.48252
SunPower/PVMismatch,https://github.com/SunPower/PVMismatch,PVMismatch,Other,2.1,0.36206
SunPower/pvfactors,https://github.com/SunPower/pvfactors,pvfactors,Other,2.8,0.31246
TEB-model/teb,https://github.com/TEB-model/teb,teb,Other,2.2,0.23462
