repository_name,repository_url,project_name,category,scorecard_score,criticality_score,has_scorecard,has_criticality,has_both_scores
OpenEMS/openems,https://github.com/OpenEMS/openems,OpenEMS,Other,5.0,0.56394,True,True,True
OpenEnergyPlatform/oeplatform,https://github.com/OpenEnergyPlatform/oeplatform,Open Energy Platform,Other,4.8,0.51382,True,True,True
OpenEnergyPlatform/open-MaStR,https://github.com/OpenEnergyPlatform/open-MaStR,open-MaStR,Other,3.9,0.42681,True,True,True
OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,OpenIPSL,Other,4.7,0.39317,True,True,True
OpenLEADR/openleadr-python,https://github.com/OpenLEADR/openleadr-python,OpenLEADR,Interfaces,3.5,0.35338,True,True,True
OpenMDAO/OpenMDAO,https://github.com/OpenMDAO/OpenMDAO,OpenMDAO,Other,5.8,0.53705,True,True,True
OpenModelica/OpenModelica,https://github.com/OpenModelica/OpenModelica,OpenModelica,Other,4.1,0.59711,True,True,True
PV-Lab/BayesProcess,https://github.com/PV-Lab/BayesProcess,BayesProcess,Other,1.5,0.20528,True,True,True
PV-Lab/autoXRD,https://github.com/PV-Lab/autoXRD,autoXRD,Other,2.4,0.20025,True,True,True
PerovskiteSCModelling/IonMonger,https://github.com/PerovskiteSCModelling/IonMonger,IonMonger,Other,3.6,0.21907,True,True,True
Planheat/Planheat-Tool,https://github.com/Planheat/Planheat-Tool,PLANHEAT Tool,Other,1.6,0.22667,True,True,True
PowerGenome/PowerGenome,https://github.com/PowerGenome/PowerGenome,PowerGenome,Other,4.6,0.36686,True,True,True
PyPSA/PyPSA,https://github.com/PyPSA/PyPSA,PyPSA,Simulation,6.4,0.54554,True,True,True
PyPSA/atlite,https://github.com/PyPSA/atlite,Atlite,Other,6.8,0.41998,True,True,True
PyPSA/pypsa-eur,https://github.com/PyPSA/pypsa-eur,PyPSA-Eur,Simulation,5.7,0.51707,True,True,True
PyPSA/pypsa-eur,https://github.com/PyPSA/pypsa-eur,PyPSA-Eur,Simulation,5.7,0.51707,True,True,True
PyPSA/pypsa-eur-sec,https://github.com/PyPSA/pypsa-eur-sec,PyPSA-Eur-Sec,Other,3.9,0.41552,True,True,True
PyPSA/whobs-server,https://github.com/PyPSA/whobs-server,whobs-server,Other,3.0,0.24529,True,True,True
RAMP-project/RAMP,https://github.com/RAMP-project/RAMP,RAMP,Other,4.1,0.36282,True,True,True
RAMP-project/RAMP-mobility,https://github.com/RAMP-project/RAMP-mobility,RAMP-mobility,Other,3.4,0.3028,True,True,True
RIAPS/riaps-core,https://github.com/RIAPS/riaps-core,RIAPS,Platform,2.9,0.31086,True,True,True
RWTH-EBC/AixLib,https://github.com/RWTH-EBC/AixLib,AixLib,Other,3.5,0.46212,True,True,True
RWTH-EBC/TEASER,https://github.com/RWTH-EBC/TEASER,TEASER,Simulation,4.2,0.46316,True,True,True
RWTH-EBC/TEASER,https://github.com/RWTH-EBC/TEASER,TEASER,Simulation,4.2,0.46316,True,True,True
RWTH-EBC/pyCity,https://github.com/RWTH-EBC/pyCity,pyCity_base,Other,2.7,0.32231,True,True,True
RWTH-EBC/pyCity,https://github.com/RWTH-EBC/pyCity,pyCity_base,Other,2.7,0.32231,True,True,True
RamiKrispin/UKgrid,https://github.com/RamiKrispin/UKgrid,UKgrid,Other,2.6,0.19412,True,True,True
RamiKrispin/USgrid,https://github.com/RamiKrispin/USgrid,USgrid,Other,2.7,0.19913,True,True,True
RentadroneCL/Photovoltaic_Fault_Detector,https://github.com/RentadroneCL/Photovoltaic_Fault_Detector,Photovoltaic_Fault_Detector,Other,0.7,0.28192,True,True,True
SEED-platform/seed,https://github.com/SEED-platform/seed,SEED,Other,5.4,0.48554,True,True,True
SNL-WaterPower/CACTUS,https://github.com/SNL-WaterPower/CACTUS,CACTUS,Other,3.8,0.2838,True,True,True
SNL-WaterPower/WecOptTool,https://github.com/SNL-WaterPower/WecOptTool,WecOptTool,Other,2.6,0.23226,True,True,True
Samuel-Buteau/universal-battery-database,https://github.com/Samuel-Buteau/universal-battery-database,universal-battery-database,Other,1.9,0.2273,True,True,True
SanPen/ESIOS,https://github.com/SanPen/ESIOS,ESIOS,Other,3.0,0.2441,True,True,True
SanPen/GridCal,https://github.com/SanPen/GridCal,GridCal,Other,4.4,0.42969,True,True,True
SeitaBV/flexmeasures,https://github.com/SeitaBV/flexmeasures,FlexMeasures,Other,5.9,,True,False,False
SmartTensors/GeoThermalCloud.jl,https://github.com/SmartTensors/GeoThermalCloud.jl,GeoThermalCloud.jl,Other,3.3,0.31929,True,True,True
SolarArbiter/solarforecastarbiter-core,https://github.com/SolarArbiter/solarforecastarbiter-core,Solar Forecast Arbiter,Other,4.5,0.33311,True,True,True
SolarTherm/SolarTherm,https://github.com/SolarTherm/SolarTherm,SolarTherm,Other,4.1,0.41383,True,True,True
SonyCSL/APIS,https://github.com/SonyCSL/APIS,APIS,Other,2.6,0.23463,True,True,True
Spine-project/Spine-Toolbox,https://github.com/Spine-project/Spine-Toolbox,Spine-Toolbox,Other,4.2,0.48252,True,True,True
SunPower/PVMismatch,https://github.com/SunPower/PVMismatch,PVMismatch,Other,2.1,0.36206,True,True,True
SunPower/pvfactors,https://github.com/SunPower/pvfactors,pvfactors,Other,2.8,0.31246,True,True,True
TEB-model/teb,https://github.com/TEB-model/teb,teb,Other,2.2,0.23462,True,True,True
TRI-AMDD/beep,https://github.com/TRI-AMDD/beep,beep,Batteries,4.4,0.41229,True,True,True
TemoaProject/temoa,https://github.com/TemoaProject/temoa,Temoa,Optimization,2.9,0.41455,True,True,True
Thales1330/PSP,https://github.com/Thales1330/PSP,PSP-UFU,Other,2.9,0.29507,True,True,True
Total-RD/pymgrid,https://github.com/Total-RD/pymgrid,pymgrid,Other,2.9,0.31762,True,True,True
UdK-VPT/BuildingSystems,https://github.com/UdK-VPT/BuildingSystems,BuildingSystems,Other,1.8,0.38062,True,True,True
V2GClarity/RISE-V2G,https://github.com/V2GClarity/RISE-V2G,RISE-V2G,Other,4.1,,True,False,False
VOLTTRON/volttron,https://github.com/VOLTTRON/volttron,VOLTTRON,Other,4.4,0.50339,True,True,True
VUB-HYDR/REVUB,https://github.com/VUB-HYDR/REVUB,REVUB,Other,2.8,,True,False,False
WEC-Sim/WEC-Sim,https://github.com/WEC-Sim/WEC-Sim,WEC-Sim,Other,5.1,0.48487,True,True,True
WISDEM/AirfoilPreppy,https://github.com/WISDEM/AirfoilPreppy,AirfoilPreppy,Other,2.9,0.31609,True,True,True
WISDEM/LandBOSSE,https://github.com/WISDEM/LandBOSSE,LandBOSSE,Other,3.8,0.37921,True,True,True
WISDEM/ORBIT,https://github.com/WISDEM/ORBIT,ORBIT,Other,5.0,0.38519,True,True,True
WISDEM/WEIS,https://github.com/WISDEM/WEIS,WEIS,Other,4.1,0.48193,True,True,True
WMD-group/CarrierCapture.jl,https://github.com/WMD-group/CarrierCapture.jl,CarrierCapture.jl,Other,3.5,0.37845,True,True,True
YingyiLiu/HAMS,https://github.com/YingyiLiu/HAMS,HAMS,Other,2.8,0.30651,True,True,True
YoungFaithful/CapacityExpansion.jl,https://github.com/YoungFaithful/CapacityExpansion.jl,CapacityExpansion.jl,Other,3.1,0.32993,True,True,True
adamgreenhall/minpower,https://github.com/adamgreenhall/minpower,minpower,Optimization,2.1,0.25029,True,True,True
alliander-opensource/openstf,https://github.com/alliander-opensource/openstf,Openstf,Forecasting,4.4,0.46006,True,True,True
aqreed/solarpy,https://github.com/aqreed/solarpy,solarpy,Other,2.7,0.21613,True,True,True
architecture-building-systems/RC_BuildingSimulator,https://github.com/architecture-building-systems/RC_BuildingSimulator,RC_BuildingSimulator,Other,2.4,0.30922,True,True,True
arnolddevos/CIMTool,https://github.com/arnolddevos/CIMTool,CIMTool,Modeling,1.5,0.19203,True,True,True
audunarn/ANYstructure,https://github.com/audunarn/ANYstructure,ANYstructure,Other,1.4,0.33231,True,True,True
awebox/awebox,https://github.com/awebox/awebox,awebox,Other,4.3,0.34936,True,True,True
balmorelcommunity/Balmorel,https://github.com/balmorelcommunity/Balmorel,Balmorel,Modeling,4.7,0.32486,True,True,True
battery-lcf/battery-archive-sandbox,https://github.com/battery-lcf/battery-archive-sandbox,Battery Lifecycle (BLC) Framework,Batteries,2.6,0.18989,True,True,True
batterysim/equiv-circ-model,https://github.com/batterysim/equiv-circ-model,equiv-circ-model,Other,1.9,0.2303,True,True,True
beanit/iec61850bean,https://github.com/beanit/iec61850bean,IEC61850bean,Other,2.7,0.30237,True,True,True
bje-/NEMO,https://github.com/bje-/NEMO,NEMO,Optimization,3.1,0.2631,True,True,True
blue-marble/gridpath,https://github.com/blue-marble/gridpath,GridPath,Other,5.1,0.38059,True,True,True
brightwind-dev/brightwind,https://github.com/brightwind-dev/brightwind,brightwind,Other,4.0,0.36942,True,True,True
buds-lab/building-data-genome-project-2,https://github.com/buds-lab/building-data-genome-project-2,The Building Data Genome 2 Data-Set,Other,3.6,0.24686,True,True,True
calliope-project/calliope,https://github.com/calliope-project/calliope,Calliope,Modeling,4.8,0.42095,True,True,True
calliope-project/euro-calliope,https://github.com/calliope-project/euro-calliope,Euro-Calliope,Other,4.5,0.34176,True,True,True
catalyst-cooperative/pudl,https://github.com/catalyst-cooperative/pudl,The Public Utility Data Liberation Project,Other,6.3,0.4815,True,True,True
chargeprice/open-ev-data,https://github.com/chargeprice/open-ev-data,open-ev-data,Other,3.2,0.28179,True,True,True
cim-iec/CIMverter,https://github.com/cim-iec/CIMverter,CIMverter,Other,3.1,0.24362,True,True,True
com-pas/compas-core,https://github.com/com-pas/compas-core,CoMPAS,Other,5.5,0.37052,True,True,True
cuihantao/andes,https://github.com/cuihantao/andes,ANDES,Other,3.3,0.45664,True,True,True
danielePala/CIMDraw,https://github.com/danielePala/CIMDraw,CIMdraw,Modeling,2.6,0.22204,True,True,True
danieljfarrell/pvtrace,https://github.com/danieljfarrell/pvtrace,pvtrace,Other,3.2,0.29143,True,True,True
danjulio/MPPT-Solar-Charger,https://github.com/danjulio/MPPT-Solar-Charger,MPPT-Solar-Charger,Other,1.2,0.25007,True,True,True
davidhowey/SLIDE,https://github.com/davidhowey/SLIDE,SLIDE,Other,3.0,0.22845,True,True,True
dazhiyang/SolarData,https://github.com/dazhiyang/SolarData,SolarData,Other,2.2,0.19786,True,True,True
e2nIEE/pandapipes,https://github.com/e2nIEE/pandapipes,pandapipes,Other,5.5,0.44358,True,True,True
e2nIEE/pandapower,https://github.com/e2nIEE/pandapower,pandapower,Other,6.4,0.55512,True,True,True
e2nIEE/pandapower,https://github.com/e2nIEE/pandapower,pandapower,Other,6.4,0.55512,True,True,True
e2nIEE/simbench,https://github.com/e2nIEE/simbench,SimBench,Other,3.5,0.29066,True,True,True
ecmwf-projects/thermofeel,https://github.com/ecmwf-projects/thermofeel,Thermofeel,Other,2.9,0.30475,True,True,True
emma-model/EMMA,https://github.com/emma-model/EMMA,The Electricity Market Model EMMA,Other,1.4,0.1966,True,True,True
emoncms/emoncms,https://github.com/emoncms/emoncms,Emoncms,Other,4.8,0.53168,True,True,True
energy-modelling-toolkit/Dispa-SET,https://github.com/energy-modelling-toolkit/Dispa-SET,Dispa-SET,Other,3.7,0.37889,True,True,True
energyPATHWAYS/energyPATHWAYS,https://github.com/energyPATHWAYS/energyPATHWAYS,EnergyPATHWAYS,Modeling,2.8,0.31829,True,True,True
energywebfoundation/origin,https://github.com/energywebfoundation/origin,origin,Other,4.5,0.42453,True,True,True
flexiblepower/fpai-core,https://github.com/flexiblepower/fpai-core,EF-Pi,Platform,2.6,0.30546,True,True,True
flexiblepower/powermatcher,https://github.com/flexiblepower/powermatcher,PowerMatcher,Other,2.7,0.37171,True,True,True
foxBMS/foxbms-2,https://github.com/foxBMS/foxbms-2,foxBMS 2,Batteries,2.2,0.23852,True,True,True
fraukewiese/renpass,https://github.com/fraukewiese/renpass,renpass,Simulation,2.7,0.16419,True,True,True
frkunz/stELMOD,https://github.com/frkunz/stELMOD,stELMOD,Optimization,2.7,0.20922,True,True,True
greco-project/pvcompare,https://github.com/greco-project/pvcompare,pvcompare,Other,4.6,0.33738,True,True,True
gridsingularity/gsy-e,https://github.com/gridsingularity/gsy-e,Grid Singularity Energy Exchange Engine (D3A),Other,4.8,0.43945,True,True,True
gsoh/VED,https://github.com/gsoh/VED,Vehicle Energy Dataset,Other,2.6,0.18853,True,True,True
gurbyz/power-wheel-card,https://github.com/gurbyz/power-wheel-card,power-wheel-card,Other,2.5,0.2535,True,True,True
holgerteichgraeber/TimeSeriesClustering.jl,https://github.com/holgerteichgraeber/TimeSeriesClustering.jl,TimeSeriesClustering,Other,3.9,0.33723,True,True,True
hongyuanjia/eplusr,https://github.com/hongyuanjia/eplusr,eplusr,Other,3.1,0.27991,True,True,True
hubblo-org/scaphandre,https://github.com/hubblo-org/scaphandre,Scaphandre,Monitoring,3.6,0.41154,True,True,True
hydro-python/hydropowerlib,https://github.com/hydro-python/hydropowerlib,hydropowerlib,Other,3.0,0.23642,True,True,True
hyphae/APIS,https://github.com/hyphae/APIS,Hyphae,Other,6.0,0.32491,True,True,True
iat-cener/tonatiuh,https://github.com/iat-cener/tonatiuh,Tonatiuh,Other,2.5,0.30869,True,True,True
ie3-institute/PowerSystemDataModel,https://github.com/ie3-institute/PowerSystemDataModel,PowerSystemDataModel,Other,5.8,0.41875,True,True,True
iiasa/message_ix,https://github.com/iiasa/message_ix,MESSAGEix,Other,6.0,0.43411,True,True,True
intelligent-environments-lab/CityLearn,https://github.com/intelligent-environments-lab/CityLearn,CityLearn,Other,4.3,0.39657,True,True,True
