repository,default_score,repo_name,owner,project,score_category
https://github.com/rl-institut/multi-vector-simulator,0.38426,rl-institut/multi-vector-simulator,rl-institut,multi-vector-simulator,Medium (0.3-0.5)
https://github.com/volkszaehler/mbmd,0.32738,volkszaehler/mbmd,volkszaehler,mbmd,Medium (0.3-0.5)
https://github.com/LBNL-ETA/MSWH,0.30198,LBNL-ETA/MSWH,LBNL-ETA,MSWH,Medium (0.3-0.5)
https://github.com/NREL/NRWAL,0.35306,NREL/NRWAL,NREL,NRWAL,Medium (0.3-0.5)
https://github.com/lbl-srg/modelica-buildings,0.53435,lbl-srg/modelica-buildings,lbl-srg,modelica-buildings,High (0.5-0.7)
https://github.com/m4rz910/NYISOToolkit,0.23474,m4rz910/NYISOToolkit,m4rz910,NYISOToolkit,Low (0.1-0.3)
https://github.com/mdh266/NYCBuildingEnergyUse,0.24811,mdh266/NYCBuildingEnergyUse,mdh266,NYCBuildingEnergyUse,Low (0.1-0.3)
https://github.com/ECSIM/opem,0.34891,ECSIM/opem,ECSIM,opem,Medium (0.3-0.5)
https://github.com/WISDEM/ORBIT,0.38519,WISDEM/ORBIT,WISDEM,ORBIT,Medium (0.3-0.5)
https://github.com/EPGOxford/OPEN,0.26488,EPGOxford/OPEN,EPGOxford,OPEN,Low (0.1-0.3)
https://github.com/OpenEnergyPlatform/oeplatform,0.51382,OpenEnergyPlatform/oeplatform,OpenEnergyPlatform,oeplatform,High (0.5-0.7)
https://github.com/openeemeter/eemeter,0.42056,openeemeter/eemeter,openeemeter,eemeter,Medium (0.3-0.5)
https://github.com/dpinney/omf,0.35876,dpinney/omf,dpinney,omf,Medium (0.3-0.5)
https://github.com/OpenEMS/openems,0.56394,OpenEMS/openems,OpenEMS,openems,High (0.5-0.7)
https://github.com/OpenMDAO/OpenMDAO,0.53705,OpenMDAO/OpenMDAO,OpenMDAO,OpenMDAO,High (0.5-0.7)
https://github.com/OpenIPSL/OpenIPSL,0.39317,OpenIPSL/OpenIPSL,OpenIPSL,OpenIPSL,Medium (0.3-0.5)
https://github.com/OpenModelica/OpenModelica,0.59711,OpenModelica/OpenModelica,OpenModelica,OpenModelica,High (0.5-0.7)
https://github.com/opennem/opennem-fe,0.36797,opennem/opennem-fe,opennem,opennem-fe,Medium (0.3-0.5)
https://github.com/NREL/OpenOA,0.39566,NREL/OpenOA,NREL,OpenOA,Medium (0.3-0.5)
https://github.com/NREL/OpenStudio-ERI,0.49976,NREL/OpenStudio-ERI,NREL,OpenStudio-ERI,Medium (0.3-0.5)
https://github.com/NREL/OpenStudio-HPXML,0.50734,NREL/OpenStudio-HPXML,NREL,OpenStudio-HPXML,High (0.5-0.7)
https://github.com/NREL/OpenStudio,0.56265,NREL/OpenStudio,NREL,OpenStudio,High (0.5-0.7)
https://github.com/Planheat/Planheat-Tool,0.22667,Planheat/Planheat-Tool,Planheat,Planheat-Tool,Low (0.1-0.3)
https://github.com/richard-weinhold/pomato,0.33951,richard-weinhold/pomato,richard-weinhold,pomato,Medium (0.3-0.5)
https://github.com/Thales1330/PSP,0.29507,Thales1330/PSP,Thales1330,PSP,Low (0.1-0.3)
https://github.com/BreakingBytes/pvfree,0.30823,BreakingBytes/pvfree,BreakingBytes,pvfree,Medium (0.3-0.5)
https://github.com/kdmayer/PV4GER,0.23438,kdmayer/PV4GER,kdmayer,PV4GER,Low (0.1-0.3)
https://github.com/NREL/PV_ICE,0.34002,NREL/PV_ICE,NREL,PV_ICE,Medium (0.3-0.5)
