repository_name,repository_url,project_name,category,scorecard_aggregate,criticality_score,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities
HIT2GAP-EU-PROJECT/bemserver,https://github.com/HIT2GAP-EU-PROJECT/bemserver,BEMServer,Other,1.9,0.26119,10.0,3.0,0.0,0.0,0.0,10.0,,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,,,0.0
HotMaps/Hotmaps-toolbox-service,https://github.com/HotMaps/Hotmaps-toolbox-service,Hotmaps,Other,1.4,0.31672,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,,0.0
IAMconsortium/pyam,https://github.com/IAMconsortium/pyam,pyam,Other,5.9,0.42011,10.0,3.0,8.0,0.0,5.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,9.0
IAMconsortium/pyam,https://github.com/IAMconsortium/pyam,pyam,Other,5.9,0.42011,10.0,3.0,8.0,0.0,5.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,9.0
IBM/rl-testbed-for-energyplus,https://github.com/IBM/rl-testbed-for-energyplus,rl-testbed-for-energyplus,Other,5.2,0.35137,10.0,0.0,1.0,2.0,6.0,10.0,10.0,10.0,0.0,10.0,1.0,,0.0,0.0,10.0,,0.0,10.0
ICWallis/fractoolbox,https://github.com/ICWallis/fractoolbox,fractoolbox,Other,2.7,0.24506,10.0,0.0,,0.0,0.0,3.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
IDAES/idaes-pse,https://github.com/IDAES/idaes-pse,The IDAES Toolkit,Other,4.8,0.45724,10.0,3.0,9.0,0.0,9.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,10.0
IEA-Task-43/digital_wra_data_standard,https://github.com/IEA-Task-43/digital_wra_data_standard,Digital WRA Data Standards,Other,4.2,0.39428,10.0,6.0,0.0,0.0,6.0,10.0,10.0,10.0,0.0,10.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0
IEAWindTask37/IEA-15-240-RWT,https://github.com/IEAWindTask37/IEA-15-240-RWT,IEA-15-240-RWT,Other,4.1,0.35596,0.0,6.0,2.0,0.0,8.0,10.0,10.0,0.0,0.0,10.0,6.0,,0.0,0.0,0.0,,0.0,10.0
IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,openTEPES,Other,4.2,0.39346,10.0,6.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,0.0,0.0,6.0
IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,openTEPES,Other,4.2,0.39346,10.0,6.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,0.0,0.0,6.0
ImperialCollegeLondon/sharpy,https://github.com/ImperialCollegeLondon/sharpy,SHARPy,Other,4.9,0.40112,10.0,8.0,10.0,0.0,6.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,,0.0,10.0
JGCRI/gcam-core,https://github.com/JGCRI/gcam-core,GCAM,Modeling,2.9,0.51856,7.0,6.0,,0.0,0.0,10.0,,0.0,0.0,9.0,2.0,,,0.0,0.0,0.0,,8.0
Japhiolite/geothermics,https://github.com/Japhiolite/geothermics,geothermics,Other,2.9,0.26416,10.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
JuliaEnergy/Joulia.jl,https://github.com/JuliaEnergy/Joulia.jl,Joulia.jl,Other,2.6,0.18681,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
JuliaEnergy/PowerDynamics.jl,https://github.com/JuliaEnergy/PowerDynamics.jl,PowerDynamics.jl,Other,5.4,0.44445,10.0,3.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,10.0
KTH-dESA/OnSSET-2016,https://github.com/KTH-dESA/OnSSET-2016,OnSSET,Optimization,2.4,0.28681,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,,,5.0
LBNL-ETA/MSWH,https://github.com/LBNL-ETA/MSWH,Multiscale Solar Water Heating,Other,2.6,0.30198,10.0,3.0,0.0,0.0,0.0,3.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,0.0,,10.0
LBNL-JCI-ICF/better,https://github.com/LBNL-JCI-ICF/better,BETTER,Other,2.3,0.25051,10.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,9.0,0.0,,,0.0,0.0,0.0,,10.0
LBNL-UCB-STI/beam,https://github.com/LBNL-UCB-STI/beam,BEAM,Other,3.3,0.48608,6.0,1.0,0.0,0.0,6.0,10.0,,10.0,0.0,9.0,0.0,,0.0,0.0,0.0,,,4.0
LibreSolar/bms-firmware,https://github.com/LibreSolar/bms-firmware,LibreSolar,Other,3.8,0.31535,10.0,0.0,5.0,0.0,5.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
LibreSolar/charge-controller-firmware,https://github.com/LibreSolar/charge-controller-firmware,Charge Controller Firmware,Other,3.4,0.30662,10.0,1.0,0.0,0.0,1.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
Lkruitwagen/solar-pv-global-inventory,https://github.com/Lkruitwagen/solar-pv-global-inventory,"A Global Inventory of Commerical-, Industrial-, and Utility-Scale Photovoltaic Solar Generating Units",Other,1.5,0.25265,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,0.0
MATPOWER/matpower,https://github.com/MATPOWER/matpower,MATPOWER,Simulation,4.2,0.43318,10.0,3.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,10.0
MATPOWER/matpower,https://github.com/MATPOWER/matpower,MATPOWER,Simulation,4.2,0.43318,10.0,3.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,10.0
MHKiT-Software/MHKiT-Python,https://github.com/MHKiT-Software/MHKiT-Python,MHKiT-Python,Other,5.1,0.39392,10.0,0.0,10.0,2.0,6.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,9.0
MassimoCimmino/pygfunction,https://github.com/MassimoCimmino/pygfunction,pygfunction,Other,4.0,0.36108,10.0,1.0,10.0,0.0,6.0,6.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
NREL-SIIP/InfrastructureSystems.jl,https://github.com/NREL-SIIP/InfrastructureSystems.jl,InfrastructureSystems.jl,Other,5.6,0.44788,10.0,6.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0
NREL-SIIP/PowerSimulations.jl,https://github.com/NREL-SIIP/PowerSimulations.jl,PowerSimulations.jl,Modeling,5.5,0.46353,10.0,6.0,10.0,0.0,8.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,10.0
NREL-SIIP/PowerSimulationsDynamics.jl,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,PowerSimulationsDynamics.jl,Simulation,4.4,0.36061,10.0,6.0,2.0,0.0,6.0,10.0,10.0,0.0,0.0,10.0,1.0,,0.0,0.0,0.0,,0.0,10.0
NREL-SIIP/PowerSimulationsDynamics.jl,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,PowerSimulationsDynamics.jl,Simulation,4.4,0.36061,10.0,6.0,2.0,0.0,6.0,10.0,10.0,0.0,0.0,10.0,1.0,,0.0,0.0,0.0,,0.0,10.0
NREL-SIIP/PowerSystems.jl,https://github.com/NREL-SIIP/PowerSystems.jl,PowerSystems.jl,Other,5.2,0.44696,10.0,8.0,9.0,0.0,7.0,10.0,10.0,0.0,0.0,10.0,6.0,,0.0,0.0,0.0,,0.0,10.0
NREL/EnergyPlus,https://github.com/NREL/EnergyPlus,EnergyPlus,Other,4.5,,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
